context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,99.7,299,300,300,1000,2544,2471,61,0.0009,2120,4362,7401,0,0.0
2,99.3,298,300,300,1000,2951,4447,69,0.0015,2559,4715,9271,0,0.0
3,99.0,297,300,300,1000,3353,6434,68,0.0021,2850,5268,10442,0,0.0
4,97.7,293,300,300,1000,3725,8433,72,0.0027,3199,5890,11316,0,0.0
5,98.7,296,300,300,1000,4029,10363,72,0.0033,3343,8199,11400,0,0.0
6,99.3,298,300,300,1000,3725,12354,70,0.0039,3415,5756,10293,0,0.0
10,96.7,290,300,300,1000,4472,20459,75,0.0063,3908,6803,12261,0,0.0
20,95.3,286,300,300,1000,5405,40072,79,0.0122,4679,8695,12901,0,0.0
30,95.0,285,300,300,1000,6167,60046,76,0.0182,5374,9933,15389,0,0.0
50,86.7,260,300,300,1000,8336,99519,82,0.0301,7248,13291,21334,0,0.0
70,87.3,262,300,300,1000,43792,139141,94,0.0420,13856,141470,360362,0,0.0
100,84.3,253,300,300,1000,47759,198714,102,0.0599,17626,145067,347723,0,0.0
150,79.7,239,300,300,1000,47506,298761,101,0.0899,19250,135217,246878,0,0.0
200,76.7,230,300,300,1000,49917,395890,106,0.1190,22487,132060,246130,0,0.0
300,76.3,229,300,300,1000,74812,594414,92,0.1781,32947,172408,722594,592965,99.8
