context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,97.6,3905,4000,4000,10000,1369,1905,51,0.0002,732,2905,10249,4087,100.0
2,97.6,3903,4000,2000,5000,1457,3275,53,0.0003,766,3176,10644,4061,100.0
3,97.9,3925,4008,1336,3334,1715,4635,53,0.0004,894,3687,12504,4733,100.0
4,96.9,3876,4000,1000,2500,1830,6086,53,0.0004,925,3868,14946,5733,94.2
5,97.4,3894,4000,800,2000,1916,7428,52,0.0005,965,3932,15529,6920,93.2
6,97.2,3894,4008,668,1667,1963,8781,51,0.0005,1019,4125,14550,8274,94.2
10,96.8,3871,4000,400,1000,2246,14355,50,0.0008,1141,4897,15934,13819,96.3
20,95.6,3825,3999,199,500,3020,28168,50,0.0013,1441,8042,17676,27588,97.9
30,93.9,3751,3994,129,334,3439,41753,49,0.0018,1558,9566,19341,41248,98.8
50,91.6,3664,4000,80,200,4017,69025,89,0.0027,1901,11801,22469,68462,99.2
70,89.4,3661,4095,57,143,4483,97552,138,0.0037,2073,11430,27351,96920,99.4
100,87.8,3509,3996,39,100,2352,137826,238,0.0041,1734,2395,10182,135343,98.2
150,86.6,3418,3948,38,100,3414,236830,462,0.0067,2539,3227,8590,233933,98.8
200,83.7,3187,3807,34,100,5474,336823,971,0.0097,3576,4594,122877,333497,99.0
300,80.2,2895,3609,30,100,8461,534361,1280,0.0151,5713,7136,139409,530224,99.2
