context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,99.7,999,1002,1002,10000,35784,1667,55,0.0006,40862,52424,59390,0,0.0
2,99.5,997,1002,501,5000,37815,2781,62,0.0010,43241,53651,62409,3300,100.0
3,99.3,999,1006,336,3334,38561,3825,64,0.0013,44739,52918,63110,4335,100.0
4,99.6,1004,1008,252,2500,36536,4833,65,0.0015,42247,52855,62680,4929,100.0
5,99.5,1000,1005,201,2000,37505,6057,68,0.0019,41610,53556,66729,5959,98.4
6,99.4,1002,1008,168,1667,36531,7268,68,0.0022,40451,52840,60665,6484,89.2
10,99.3,1013,1020,102,1000,36695,11403,72,0.0032,41598,52948,60841,9978,87.5
20,99.5,1005,1010,49,500,33047,23053,74,0.0055,37513,53132,61370,20906,90.7
30,99.5,1075,1080,36,334,39093,34660,76,0.0079,42710,54170,63834,31810,91.8
50,99.4,959,965,14,200,31953,56939,77,0.0116,32516,52634,60184,53015,93.1
70,99.1,875,883,10,143,28545,79946,73,0.0149,24338,52130,63303,75465,94.4
100,98.9,931,941,8,100,23969,114573,75,0.0180,16473,50926,64068,109871,95.9
150,98.7,913,925,8,100,29798,212473,76,0.0289,21282,57405,90571,200795,94.5
200,98.1,901,918,8,100,30231,310954,78,0.0435,21194,59443,106031,296067,95.2
300,98.5,894,908,8,100,33572,510919,81,0.0709,22467,65899,118730,486979,95.3
