context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,99.2,4960,5000,5000,10000,1504,1645,56,0.0002,743,3395,11442,2291,100.0
2,99.3,4963,5000,2500,5000,1764,2787,64,0.0003,871,3964,13753,3959,100.0
3,99.2,4968,5007,1669,3334,1748,3893,65,0.0003,900,3875,13212,4492,100.0
4,99.2,4959,5000,1250,2500,1795,5040,62,0.0004,883,4032,14089,5082,100.0
5,99.2,4961,5000,1000,2000,2025,6139,63,0.0004,990,4675,15461,5864,95.5
6,99.3,4974,5010,835,1667,1843,7240,63,0.0004,910,3928,14441,6829,94.3
10,99.0,4952,5000,500,1000,2230,11790,59,0.0006,1111,5092,16787,11236,95.3
20,98.9,4946,5000,250,500,2501,23131,60,0.0010,1279,6451,14742,22556,97.5
30,99.0,5021,5070,169,334,2557,34300,61,0.0014,1234,7155,15562,33699,98.2
50,98.4,4919,5000,100,200,3666,56592,64,0.0022,1792,10510,21596,55960,98.9
70,98.5,5033,5110,73,143,4006,79462,82,0.0029,1998,10796,23310,78925,99.3
100,97.9,4896,5000,50,100,3927,113555,83,0.0040,2179,7640,25762,112841,99.4
150,96.5,4825,5000,50,100,2611,210884,169,0.0059,2310,2948,5519,208031,98.6
200,93.4,4670,5000,50,100,3770,309662,216,0.0086,3349,4230,7824,306618,99.0
300,87.3,4355,4987,49,100,5930,-351807,260,0.0140,5210,6624,12365,-376416,0.0
