context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,97.4,1161,1192,1192,1192,3185,3518,20,0.0011,2920,4763,7170,4358,100.0
5,98.0,1168,1192,1192,1192,3511,5455,21,0.0017,3273,5080,8130,4075,74.7
6,96.6,1151,1192,1192,1192,3734,7393,21,0.0023,3422,5543,8702,5104,69.0
10,97.0,1156,1192,596,596,3832,10830,21,0.0032,3450,5694,10033,10054,92.8
20,95.7,1141,1192,239,239,3964,17373,21,0.0047,3450,6133,10888,13730,79.0
30,95.0,1132,1192,171,171,4537,28185,21,0.0071,3904,6721,15127,22282,79.1
50,94.0,1120,1192,100,100,5355,45601,23,0.0103,4258,8078,23242,35899,78.7
70,93.2,1111,1192,71,71,5833,62863,22,0.0131,4595,9453,23989,51355,81.7
100,93.2,1111,1192,48,48,5698,87145,21,0.0165,4692,8463,23672,74377,85.3
150,90.5,1079,1192,33,33,9205,132989,24,0.0198,6154,16430,43840,122964,92.5
200,90.5,1079,1192,24,24,8570,174420,23,0.0223,5997,14283,43693,163752,93.9
300,87.9,1048,1192,16,16,9889,261620,24,0.0297,7024,16208,51650,252230,96.4
