context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,95.4,1707,1790,1790,8943,2363,2714,48,0.0003,1586,4883,13394,2037,75.1
3,93.5,1673,1790,1790,8943,2460,4721,50,0.0005,1663,4791,15397,4077,86.4
4,92.0,1649,1792,896,4472,2183,4916,46,0.0004,1257,4393,15960,5178,100.0
5,90.3,1618,1792,896,4472,2374,6949,50,0.0006,1376,5417,15050,6558,94.4
6,91.0,1630,1791,597,2981,2670,7101,45,0.0005,1648,5728,16873,6658,93.8
10,86.8,1554,1790,358,1789,2928,11581,47,0.0007,1798,6419,17538,10991,94.9
20,84.1,1514,1800,180,895,3210,22458,44,0.0012,1860,7395,18164,21839,97.2
30,81.4,1455,1788,120,597,3884,33339,46,0.0016,2302,9367,18012,32752,98.2
50,76.6,1378,1800,72,358,5236,55311,51,0.0024,3269,12647,22429,54827,99.1
70,73.7,1326,1798,51,256,5611,76793,125,0.0033,3064,14138,26116,76034,99.0
100,69.2,1245,1800,36,179,4944,109492,131,0.0043,2429,11491,25389,108976,99.5
150,62.2,1084,1743,24,120,2488,165368,322,0.0048,1864,2447,5992,162957,98.5
200,56.1,1009,1799,18,90,3402,217872,579,0.0063,2304,2986,8750,215558,98.9
300,33.8,572,1693,16,90,5778,419864,731,0.0117,4242,5439,46596,416545,99.2
