context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,72.2,104,144,49,1464,86824,1312,1014,0.0040,14521,320831,677356,0,0.0
4,74.5,108,145,37,1099,84269,1518,1266,0.0047,16342,295790,774313,0,0.0
5,76.9,100,130,27,877,61257,1450,1162,0.0045,12856,163809,774132,0,0.0
6,77.0,104,135,23,730,103073,1663,1412,0.0054,16391,321909,1069533,0,0.0
10,64.6,53,82,8,437,79733,1903,1653,0.0065,16202,42139,1171937,0,0.0
20,81.4,79,97,5,218,36619,3339,3212,0.0118,27553,54566,211359,0,0.0
30,79.0,109,138,3,146,37159,5357,5422,0.0192,36389,63812,88300,0,0.0
50,72.5,58,80,0,88,38284,6740,6755,0.0260,38741,61208,93410,0,0.0
70,69.6,32,46,0,63,45724,9438,9528,0.0375,49141,69329,74492,0,0.0
100,66.7,26,39,0,44,53113,17171,17415,0.0631,53824,78876,117017,0,0.0
150,72.2,26,36,0,43,59301,23992,24272,0.0923,51796,85933,137203,0,0.0
200,62.5,20,32,0,43,67935,32698,33128,0.1307,67059,92532,123436,0,0.0
300,70.8,17,24,0,43,66562,35405,35813,0.1599,55759,95403,107067,0,0.0
