context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,75.0,57,76,76,2280,354888,2141,1980,0.0025,335038,687963,767847,0,0.0
3,60.5,46,76,76,2280,680856,2486,2342,0.0030,68961,2570216,2645174,0,0.0
4,72.4,55,76,38,1140,54145,2458,2308,0.0029,15153,159395,250076,0,0.0
5,67.1,51,76,38,1140,444871,2748,2612,0.0033,22372,2402962,2513725,0,0.0
6,69.2,54,78,26,760,561511,3379,3143,0.0037,17004,2261659,3840769,0,0.0
10,60.0,48,80,16,456,234416,5100,4955,0.0051,17976,688637,2036848,0,0.0
20,60.0,48,80,8,228,214802,10598,10569,0.0098,19510,174551,2928235,0,0.0
30,73.3,66,90,6,152,48067,21684,21695,0.0181,29586,145974,188740,0,0.0
50,66.0,66,100,4,92,59436,34217,34296,0.0283,38997,150837,178625,0,0.0
70,60.0,63,105,3,66,61591,42197,42243,0.0347,45975,127916,201946,0,0.0
100,59.0,59,100,2,46,82288,68766,68980,0.0555,67543,162382,192607,0,0.0
150,71.3,107,150,2,31,82171,87673,87825,0.0709,66441,166355,202106,0,0.0
200,67.0,67,100,1,23,103850,119703,119979,0.0974,87382,184094,251757,0,0.0
300,62.3,48,77,0,23,153150,245703,245956,0.1932,159360,193865,292235,0,0.0
