context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,59.0,248,420,147,1466,94869,6294,1497,0.0011,6008,208656,1245194,1550,24.6
4,59.9,226,377,99,1097,40897,7795,1873,0.0013,6449,82930,556979,2854,36.6
5,57.8,247,427,88,876,311716,9657,2239,0.0016,4935,126023,5170467,3884,40.2
6,61.0,261,428,74,731,134514,11284,2665,0.0018,6114,38683,2810742,5091,45.1
10,56.8,142,250,25,437,157473,18844,4587,0.0030,6891,37639,2597083,9676,51.3
20,63.4,109,172,9,218,103358,40683,12519,0.0075,18907,63964,2808771,21126,51.9
30,61.0,36,59,2,146,42641,46757,9874,0.0066,14771,40211,137535,26524,56.7
50,57.2,249,435,9,88,45014,92462,26067,0.0157,27423,133322,220813,53587,58.0
70,53.7,254,473,7,63,63594,139968,43342,0.0252,39334,140213,304190,81200,58.0
100,48.3,219,453,1,44,79270,202026,63284,0.0373,56018,143956,292801,109642,54.3
150,51.0,173,339,0,43,107949,347721,114031,0.0664,86700,166726,414873,186759,53.7
200,50.7,139,274,0,43,132548,499013,165891,0.0962,132899,221763,420172,266935,53.5
300,41.3,81,196,0,43,187793,822552,294563,0.1689,164778,298274,594348,415132,50.5
