context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,68.4,288,421,147,1465,304491,5688,1083,0.0167,36118,1145048,3387819,1291,22.7
4,69.3,233,336,87,1097,252643,6987,1132,0.0177,36778,370654,3414896,2521,36.1
5,69.4,197,284,58,874,186468,8779,1171,0.0185,37456,62120,3345132,4452,50.7
6,71.0,169,238,41,731,75846,9625,1257,0.0193,38235,59562,946827,5639,58.6
10,60.0,6,10,1,437,48834,17777,1603,0.0248,48414,64877,64877,14301,80.4
20,60.5,23,38,2,219,56945,31675,2903,0.0466,58793,79191,90027,23478,74.1
30,75.0,21,28,0,146,164243,51160,4025,0.0672,64862,104906,125975,39314,76.8
50,66.9,291,435,9,88,73080,77177,6798,0.1067,73821,101586,123637,61427,79.6
70,68.7,272,396,0,63,78147,105253,8955,0.1406,79862,111820,140173,85686,81.4
100,62.2,161,259,0,44,85639,151365,12782,0.2013,88304,120532,151169,123066,81.3
150,68.6,105,153,0,43,118495,251794,20154,0.3239,120161,164284,209293,204626,81.3
200,68.8,106,154,0,43,147699,364151,25853,0.4407,147791,212559,260938,290421,79.8
300,59.3,73,123,0,43,185418,574519,38808,0.6909,186332,271027,328728,441789,76.9
