context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,63.4,251,396,137,1467,164356,6327,1754,0.0057,17098,407243,2878569,1448,22.9
4,70.1,284,405,106,1095,204435,8136,2035,0.0063,17519,198302,3648798,2758,33.9
5,64.1,275,429,88,877,82340,9643,2507,0.0071,17279,46003,1252855,4207,43.6
6,65.6,105,160,27,730,162001,10942,2651,0.0074,18288,53203,3978962,4820,44.0
10,61.2,60,98,10,437,97013,16309,3195,0.0088,18885,44624,2526197,9075,55.6
20,63.3,38,60,3,219,67014,42723,12493,0.0253,36007,98478,200720,24862,58.2
30,68.4,26,38,1,146,120905,69579,23573,0.0461,54103,167464,186041,27757,39.9
50,65.1,265,407,8,88,78003,98258,29755,0.0569,51302,166369,253297,55388,56.4
70,64.6,246,381,2,63,81676,131132,37630,0.0717,63553,169519,249568,73554,56.1
100,64.1,107,167,0,44,107792,196434,62141,0.1141,91258,203452,266067,101897,51.9
150,68.8,97,141,0,43,156076,350242,119883,0.2560,157699,235815,362103,170143,48.6
200,62.1,59,95,0,43,187365,503761,163688,0.4321,182633,310186,669333,252047,50.0
300,58.9,43,73,0,43,244830,840660,306874,0.8843,242697,332431,582173,395902,47.1
