context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,85.1,268,315,315,2280,17914,1655,1699,0.0056,17171,26297,33483,0,0.0
3,86.9,278,320,320,2280,19132,1713,1783,0.0064,18277,27451,36742,0,0.0
4,84.9,264,311,155,1140,19321,1668,1711,0.0064,18377,28418,35839,0,0.0
5,82.6,261,316,157,1140,20522,1711,1766,0.0071,19897,29587,36142,0,0.0
6,85.0,289,340,109,760,20826,1767,1819,0.0076,20102,30376,37726,0,0.0
10,80.5,277,344,64,456,23503,1845,1918,0.0094,22683,35390,44326,0,0.0
20,76.6,255,333,32,228,26532,1920,2039,0.0138,25096,40583,51519,0,0.0
30,77.1,262,340,22,152,30834,2062,2193,0.0183,26990,49403,68963,0,0.0
50,71.2,230,323,11,92,36758,2249,2426,0.0268,31632,58152,86216,0,0.0
70,67.8,244,360,8,66,39493,2374,2596,0.0355,33019,66080,137152,0,0.0
100,64.6,168,260,2,46,73354,2784,3035,0.0488,53633,149696,229916,0,0.0
150,64.6,95,147,0,31,80720,3053,3255,0.0718,63001,143645,348344,0,0.0
200,64.1,50,78,0,23,90226,3356,3652,0.0914,57387,215167,337203,0,0.0
300,50.0,20,40,0,23,113633,3690,3954,0.1512,73625,254654,372751,0,0.0
