context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,78.3,119,152,152,2280,9292,1469,1433,0.0024,8937,13900,16973,0,0.0
3,80.9,123,152,152,2280,9800,1518,1520,0.0027,9497,14421,18668,0,0.0
4,82.2,125,152,76,1140,9908,1496,1483,0.0027,9659,14471,17507,0,0.0
5,75.0,114,152,76,1140,9962,1530,1534,0.0030,9453,15009,18885,0,0.0
6,75.0,117,156,52,760,9400,1467,1430,0.0029,8893,14483,21711,0,0.0
10,70.0,112,160,32,456,9847,1471,1448,0.0035,9790,15277,20342,0,0.0
20,70.0,112,160,16,228,13419,2628,2672,0.0058,11253,18523,32390,0,0.0
30,60.6,109,180,12,152,15600,3607,3622,0.0078,11007,20067,152479,0,0.0
50,52.5,105,200,8,92,30541,9894,9918,0.0148,12392,152163,175757,0,0.0
70,50.5,106,210,6,66,41901,13766,13812,0.0204,13791,164540,191615,0,0.0
100,47.9,79,165,2,46,67019,21769,21858,0.0301,22211,178113,217743,0,0.0
150,39.9,71,178,2,31,68799,22016,22094,0.0369,21496,189539,239308,0,0.0
200,36.7,44,120,1,23,62478,19671,19732,0.0419,24237,180838,212471,0,0.0
300,32.0,39,122,1,23,95257,29109,29175,0.0679,34592,201458,250956,0,0.0
