context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,82.3,438,532,532,2280,28910,1662,1608,0.0107,28505,38581,45894,0,0.0
3,77.6,413,532,532,2280,30440,1706,1660,0.0115,29999,40139,49427,0,0.0
4,78.6,418,532,266,1140,31015,1705,1658,0.0117,30309,41280,51631,0,0.0
5,78.8,419,532,266,1140,31778,1717,1671,0.0123,31551,42170,52162,0,0.0
6,75.3,411,546,182,760,32264,1705,1648,0.0124,31554,43406,52347,0,0.0
10,76.9,427,555,111,456,36118,1867,1861,0.0152,35156,49890,69559,0,0.0
20,76.4,428,560,56,228,40161,1980,2020,0.0201,39523,57683,81215,0,0.0
30,72.1,400,555,37,152,43285,2126,2165,0.0247,40275,64095,90862,0,0.0
50,69.4,399,575,23,92,47396,2268,2345,0.0339,43291,72565,107438,0,0.0
70,65.8,444,675,18,66,52119,2440,2532,0.0424,48197,78173,128809,0,0.0
100,66.2,258,390,4,46,82938,2815,2934,0.0564,66407,143599,323986,0,0.0
150,61.8,68,110,0,31,106989,3151,3231,0.0777,76071,217775,349091,0,0.0
200,71.4,80,112,0,23,101779,2951,3017,0.0963,73854,208211,353588,0,0.0
300,58.6,17,29,0,23,156551,2411,2402,0.1523,80824,354772,390197,0,0.0
