context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,74.3,113,152,152,2280,23209,1450,1319,0.0066,18844,26059,29970,0,0.0
3,67.8,103,152,152,2280,19812,1564,1455,0.0072,19816,27720,33295,0,0.0
4,71.7,109,152,76,1140,20692,1585,1497,0.0075,20283,26430,36543,0,0.0
5,67.8,103,152,76,1140,20040,1514,1399,0.0074,19336,27618,36386,0,0.0
6,66.7,104,156,52,760,19258,1479,1342,0.0072,18934,25855,34654,0,0.0
10,66.9,107,160,32,456,20544,1974,1865,0.0088,18881,27603,37184,0,0.0
20,57.5,92,160,16,228,25523,3676,3571,0.0130,21158,34223,162885,0,0.0
30,50.6,91,180,12,152,26658,3839,3734,0.0146,20835,37964,172115,0,0.0
50,52.5,105,200,8,92,37213,7908,7835,0.0244,23620,64088,190684,0,0.0
70,48.6,102,210,6,66,50975,13338,13254,0.0359,24874,174708,203617,0,0.0
100,45.0,68,151,2,46,83210,23260,23168,0.0563,32611,207946,232374,0,0.0
150,38.3,70,183,2,31,70944,19465,19345,0.0567,29907,192211,245921,0,0.0
200,34.1,44,129,1,23,86595,24395,24301,0.0713,36736,196391,236605,0,0.0
300,24.8,34,137,1,23,84490,18846,18679,0.0806,37542,207027,256340,0,0.0
