context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,81.6,124,152,152,2280,5753,3334,345,0.0019,5626,9235,10876,0,0.0
3,82.2,125,152,152,2280,7089,5326,411,0.0026,6401,11728,15782,0,0.0
4,82.9,126,152,76,1140,6847,6207,377,0.0022,6185,11667,15842,5651,91.1
5,78.9,120,152,76,1140,7009,7955,372,0.0025,6019,11558,15643,7340,92.3
6,63.5,99,156,52,760,7065,8931,355,0.0023,6408,11204,18199,8258,92.5
10,72.5,116,160,32,456,8538,14383,389,0.0029,7299,13750,28845,13751,95.6
20,68.8,110,160,16,228,9973,28455,409,0.0040,7898,18093,30523,27703,97.4
30,71.1,128,180,12,152,11027,42536,423,0.0050,9455,20439,31449,42007,98.8
50,65.5,131,200,8,92,12841,68824,432,0.0070,10676,23107,38654,68108,99.0
70,64.8,136,210,6,66,13155,96953,429,0.0092,10956,25174,40871,96282,99.3
100,71.5,143,200,4,46,26785,138386,623,0.0159,19021,58128,101604,134129,96.9
150,77.4,154,199,2,31,28937,208203,646,0.0199,20789,53403,147154,203392,97.7
200,64.3,92,143,1,23,32108,277949,596,0.0290,24404,63054,126344,266965,96.0
300,65.5,93,142,1,23,36178,476440,621,0.0487,25864,55872,277654,457863,96.1
