context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,58.5,747,1278,441,1463,1308,4672,202,0.0004,967,2484,5190,4798,100.0
4,57.6,730,1268,330,1098,1464,6029,202,0.0005,1039,2848,7534,5842,96.9
5,54.7,698,1275,264,877,1625,7475,213,0.0005,1122,3029,10249,7079,94.7
6,53.4,673,1260,219,729,1846,8770,206,0.0006,1131,3318,12177,8294,94.6
10,53.4,688,1289,132,437,2066,14348,230,0.0008,1337,4076,11972,13840,96.5
20,54.5,698,1280,66,218,3249,27731,287,0.0013,1915,8034,16158,27158,97.9
30,54.7,715,1308,45,146,4242,41728,427,0.0018,2403,10691,19628,41121,98.5
50,55.3,730,1319,27,88,5959,70009,766,0.0029,3036,13241,27224,69455,99.2
70,53.1,732,1378,21,63,6514,98617,1105,0.0039,3226,14183,38914,97995,99.4
100,50.7,740,1461,15,44,5877,137411,1700,0.0046,3035,5503,115972,135816,98.8
150,47.7,716,1500,15,43,6019,238023,1543,0.0072,4011,6496,118638,235417,98.9
200,43.5,625,1436,15,43,8762,336645,2259,0.0101,5351,9701,129632,333571,99.1
300,39.8,568,1426,14,43,14163,533107,3276,0.0161,8396,16229,147272,526771,98.8
