context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,77.6,118,152,152,2280,18495,3317,328,0.0074,17826,24126,31716,0,0.0
3,77.6,118,152,152,2280,19590,5335,375,0.0104,19238,25627,31501,0,0.0
4,78.9,120,152,76,1140,20245,6074,384,0.0099,19711,27223,34573,4765,78.5
5,82.2,125,152,76,1140,21828,8100,424,0.0119,21089,29008,40386,6891,85.1
6,78.2,122,156,52,760,21720,8945,402,0.0112,21382,28533,35992,8034,89.8
10,76.9,123,160,32,456,20940,14443,399,0.0130,20292,27264,38141,13451,93.1
20,78.1,125,160,16,228,23944,28967,432,0.0217,21526,36885,57286,27606,95.3
30,82.2,148,180,12,152,24972,42346,456,0.0303,23638,34267,57054,41306,97.5
50,80.0,160,200,8,92,36189,69302,445,0.0738,31822,57437,92863,66627,96.1
70,74.6,150,201,4,66,36071,97846,445,0.0944,31432,59923,97073,94850,96.9
100,71.8,125,174,2,46,33489,139152,422,0.0575,28481,50293,103883,137892,99.1
150,78.7,144,183,2,31,35647,210222,456,0.1669,30305,53457,135043,208619,99.2
200,66.7,76,114,1,23,40279,300487,499,0.2167,35050,56055,84350,299609,99.7
300,65.2,88,135,1,23,39485,476160,448,0.3322,34054,61561,98729,475389,99.8
