context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,45.1,181,401,140,1392,6348,1004,172,0.0007,4926,11576,23971,0,0.0
4,44.5,182,409,105,1042,6167,1150,183,0.0008,5016,11368,20072,0,0.0
5,44.8,181,404,84,833,6408,1281,185,0.0008,5158,11689,19552,0,0.0
6,43.9,179,408,70,694,6409,1392,198,0.0009,5496,11382,17553,0,0.0
10,44.9,184,410,42,415,7750,1879,217,0.0011,6246,13812,26335,0,0.0
20,45.9,188,410,21,208,9431,1956,287,0.0013,8243,16674,30155,0,0.0
30,39.8,161,405,14,139,14191,1948,300,0.0013,8422,19007,286190,0,0.0
50,38.1,165,433,9,83,12131,1976,325,0.0014,8786,19147,30085,0,0.0
70,34.5,141,409,6,60,10987,1974,352,0.0015,9935,18095,28079,0,0.0
100,37.5,181,483,5,42,13635,1989,347,0.0015,9225,18664,42056,0,0.0
150,32.2,161,500,5,41,14332,1955,359,0.0015,9824,19163,33548,0,0.0
200,31.6,158,500,5,41,10970,1989,386,0.0016,10491,18301,29150,0,0.0
300,24.9,102,409,2,41,46716,1938,376,0.0015,10794,22569,289534,0,0.0
