context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
3,36.9,296,802,274,1464,13419,991,132,0.0026,12924,18448,27906,0,0.0
4,34.6,292,843,218,1097,13409,1162,141,0.0029,12893,19401,27270,0,0.0
5,37.1,320,863,178,875,13782,1322,150,0.0031,12823,19896,30456,0,0.0
6,32.4,271,836,143,729,14008,1468,160,0.0034,13271,20226,28926,0,0.0
10,36.5,290,795,81,437,14724,1901,182,0.0042,13870,20924,32864,0,0.0
20,37.4,336,899,45,219,15061,1974,208,0.0045,14602,21110,30861,0,0.0
30,36.1,314,871,30,146,16289,1993,244,0.0049,15427,23282,33511,0,0.0
50,31.1,252,809,15,88,16817,1988,249,0.0050,15697,24336,39301,0,0.0
70,30.9,280,907,13,63,17281,1999,263,0.0051,16315,24143,36388,0,0.0
100,28.0,277,989,10,44,17105,2001,279,0.0053,16385,23641,35065,0,0.0
150,31.0,310,1000,10,43,17322,1990,289,0.0054,16712,23446,33962,0,0.0
200,29.3,293,1000,10,43,17780,2020,312,0.0056,17271,24970,32860,0,0.0
300,28.4,284,1000,10,43,17993,2045,326,0.0058,17326,24632,35011,0,0.0
