context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,81.0,17,21,21,21,5478,10863,95,0.0034,4580,8834,9551,5631,51.8
5,81.0,17,21,21,21,5149,12859,94,0.0040,3497,10605,13125,5101,39.7
6,76.2,16,21,21,21,4656,14676,89,0.0046,4157,7358,10473,0,0.0
10,81.0,17,21,21,21,4324,22793,82,0.0070,3558,7496,8386,0,0.0
20,85.7,18,21,21,21,6149,42517,100,0.0130,4885,10300,12656,0,0.0
30,85.7,18,21,21,21,6571,62521,92,0.0189,5681,12335,13304,4087,6.5
50,85.7,18,21,21,21,9544,101939,96,0.0308,8521,13988,15924,0,0.0
70,81.0,17,21,21,21,13708,140765,93,0.0422,12592,27406,28807,24537,17.4
100,76.2,16,21,21,21,15484,199792,100,0.0602,10496,19094,25750,0,0.0
150,76.2,16,21,21,21,18436,298369,84,0.0897,17477,26387,36092,0,0.0
200,66.7,14,21,21,21,20374,397422,92,0.1195,19032,28785,34607,0,0.0
300,61.9,13,21,21,21,25691,596116,75,0.1724,23884,32230,41213,618026,100.0
