context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,90.0,27,30,30,30,4224,10730,74,0.0032,3807,6508,6793,8412,78.4
5,86.7,26,30,30,30,3586,12782,88,0.0039,3167,5037,6232,5784,45.2
6,80.0,24,30,30,30,4419,14817,84,0.0045,3282,8451,9453,6124,41.3
10,83.3,25,30,30,30,4275,22588,78,0.0069,3657,6879,7449,4091,18.1
20,90.0,27,30,30,30,4875,42694,75,0.0130,4517,7876,9646,4086,9.6
30,83.3,25,30,30,30,5690,62206,79,0.0188,5029,8400,9093,4087,6.6
50,93.3,28,30,30,30,7435,101708,92,0.0307,5814,12193,13055,0,0.0
70,86.7,26,30,30,30,10567,140670,88,0.0424,8091,18860,21483,0,0.0
100,86.7,26,30,30,30,11398,200143,100,0.0589,9391,15404,28780,192304,96.1
150,80.0,24,30,30,30,15379,298899,86,0.0899,13502,27108,33569,0,0.0
200,86.7,26,30,30,30,19158,397922,92,0.1193,14293,31303,34722,36819,9.3
300,80.0,24,30,30,30,21084,595258,82,0.1788,19072,27237,34901,0,0.0
