context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,96.0,48,50,50,56,6491,1721,36,0.0006,4907,12994,17101,0,0.0
2,96.0,48,50,50,56,5472,3748,39,0.0012,3020,12433,15959,4059,100.0
3,96.0,48,50,50,56,6084,5685,40,0.0018,4987,11818,13181,0,0.0
4,96.0,48,50,50,56,4152,7571,37,0.0024,2400,10911,15976,0,0.0
5,94.0,47,50,50,56,6895,9651,41,0.0030,4784,14117,14662,0,0.0
6,98.0,49,50,50,56,5161,11576,39,0.0036,3375,11935,13198,0,0.0
10,96.0,48,50,50,56,6510,19589,43,0.0060,5231,13204,16541,0,0.0
20,100.0,50,50,50,56,4041,39285,43,0.0119,2738,7279,15022,0,0.0
30,98.0,49,50,50,56,7142,59362,43,0.0179,5293,14211,17851,0,0.0
50,94.0,47,50,50,56,8153,98723,45,0.0297,7184,13942,17749,0,0.0
70,94.0,47,50,50,56,12988,138595,46,0.0417,10004,24062,36783,0,0.0
100,98.0,49,50,50,56,15269,197296,55,0.0593,13305,26400,32222,0,0.0
150,98.0,49,50,50,56,21228,296447,48,0.0891,15881,27774,38596,0,0.0
200,95.9,47,49,49,56,24784,395448,52,0.1188,17088,38600,93502,0,0.0
300,96.0,48,50,50,56,29891,593996,48,0.1756,22953,35745,97499,605491,100.0
