context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,85.0,34,40,40,72,19828,6882,50,0.0021,18942,32625,43784,4063,59.0
3,90.0,36,40,40,72,16530,8912,39,0.0027,14391,33715,44843,4080,45.8
4,80.0,32,40,40,72,18465,10588,54,0.0032,19044,37315,39357,4764,45.0
5,85.0,34,40,40,72,12211,12774,40,0.0039,7215,26679,39295,4082,32.0
6,90.0,36,40,40,72,17017,14639,50,0.0045,13917,32275,38855,4583,31.3
10,87.5,35,40,40,72,15712,22431,43,0.0068,13418,32293,40355,4082,18.2
20,82.5,33,40,40,72,9224,42686,52,0.0129,4398,23184,35594,0,0.0
30,82.5,33,40,40,72,20918,62762,48,0.0189,19459,36354,41109,0,0.0
50,80.0,32,40,40,72,19012,102470,55,0.0309,17033,32525,35341,0,0.0
70,79.5,31,39,39,72,28609,141963,65,0.0428,29094,49694,63560,0,0.0
100,82.5,33,40,40,72,30500,201566,70,0.0606,21836,47133,53782,0,0.0
150,82.5,33,40,40,72,33652,299701,54,0.0900,26709,42904,74124,0,0.0
200,72.5,29,40,40,72,32620,400723,52,0.1182,26464,51209,77346,384392,95.9
300,72.5,29,40,40,72,34724,599172,37,0.1798,31712,52539,56924,0,0.0
