context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,90.6,58,64,64,64,5550,3690,20,0.0011,4002,11524,15406,4062,100.0
2,93.8,60,64,64,64,4511,5578,23,0.0017,2436,11021,14165,4069,73.0
3,92.2,59,64,64,64,5311,7738,22,0.0023,3692,10148,15951,4080,52.7
4,93.8,60,64,64,64,5027,9623,21,0.0029,2371,12162,16625,4082,42.4
5,92.2,59,64,64,64,6618,11630,26,0.0035,4580,12907,14732,4076,35.0
6,95.3,61,64,64,64,5356,13424,21,0.0041,3455,11971,16086,4080,30.4
10,92.2,59,64,64,64,5737,21343,23,0.0064,4426,10869,13348,4081,19.1
20,87.5,56,64,64,64,4435,41133,28,0.0124,2804,9793,16489,0,0.0
30,87.5,56,64,64,64,7813,60851,28,0.0183,6014,13928,17096,0,0.0
50,92.2,59,64,64,64,9504,100823,23,0.0303,8517,15067,24036,0,0.0
70,89.1,57,64,64,64,10482,139943,34,0.0421,9341,18016,22343,0,0.0
100,89.1,57,64,64,64,9244,198343,28,0.0596,7130,16320,20195,0,0.0
150,89.1,57,64,64,64,15099,296926,36,0.0892,13883,22550,32202,0,0.0
200,89.1,57,64,64,64,15866,395594,32,0.1188,14593,23396,35796,0,0.0
300,84.4,54,64,64,64,21506,592244,26,0.1777,20722,29073,38448,0,0.0
