context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,40.0,12,30,30,30,5949,4616,313,0.0020,4320,11339,12225,4467,96.8
2,36.7,11,30,30,30,5503,6520,312,0.0026,5009,8695,9428,4581,70.3
3,40.0,12,30,30,30,5784,8493,331,0.0033,5097,10020,10340,4068,47.9
4,36.7,11,30,30,30,5044,10606,315,0.0038,4680,7892,8318,4488,42.3
5,56.7,17,30,30,30,6730,12486,354,0.0046,5036,11807,15694,5103,40.9
6,36.7,11,30,30,30,6261,14653,296,0.0051,5405,10319,12542,4088,27.9
10,40.0,12,30,30,30,6023,22275,299,0.0074,4969,8959,13215,5108,22.9
20,43.3,13,30,30,30,7207,42616,343,0.0135,5903,11830,13438,4428,10.4
30,46.7,14,30,30,30,9802,62367,348,0.0196,7099,20306,22687,0,0.0
50,33.3,10,30,30,30,12050,101605,416,0.0315,11734,15799,20021,0,0.0
70,36.7,11,30,30,30,28099,141433,430,0.0435,20764,34161,57663,0,0.0
100,30.0,9,30,30,30,22074,200376,476,0.0613,17978,40031,45900,0,0.0
150,33.3,10,30,30,30,26800,300198,413,0.0911,22206,48687,49941,4090,1.4
200,40.0,12,30,30,30,29658,398531,402,0.1206,27040,47439,52875,0,0.0
300,33.3,10,30,30,30,33736,597366,404,0.1802,29978,52431,55411,0,0.0
