context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,92.9,26,28,28,826,12109,1286,1063,0.0034,10016,18117,22956,0,0.0
2,96.4,27,28,14,413,14066,1344,1163,0.0040,12595,22696,24573,0,0.0
3,80.0,24,30,10,276,15067,1364,1188,0.0044,13192,25013,26102,0,0.0
4,100.0,28,28,7,207,11113,1211,960,0.0040,10554,19369,20549,0,0.0
5,90.0,27,30,6,166,13174,1258,1035,0.0043,11241,20721,34273,0,0.0
6,83.3,25,30,5,138,13994,1297,1084,0.0051,12759,20739,32482,0,0.0
10,80.0,24,30,3,83,15090,1266,1009,0.0058,11300,30742,31910,0,0.0
20,87.5,35,40,2,42,16985,1493,1358,0.0096,15359,29334,33122,0,0.0
30,83.3,25,30,1,28,20656,1537,1420,0.0154,20898,28297,37172,0,0.0
50,88.4,38,43,0,17,23352,1624,1464,0.0189,18850,44119,58862,0,0.0
70,91.2,31,34,0,12,30677,1654,1496,0.0252,24479,51487,75007,0,0.0
100,90.0,9,10,0,10,87222,2916,2957,0.0590,46326,208804,208804,0,0.0
150,91.7,11,12,0,10,66234,1847,1701,0.0664,37542,72426,95207,0,0.0
200,60.0,3,5,0,10,94553,1371,1089,0.1119,33597,52080,52080,0,0.0
300,50.0,1,2,0,10,267036,1718,1681,0.1714,208805,208805,208805,0,0.0
