context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,87.5,49,56,56,826,5764,2389,955,0.0015,5077,9293,11277,0,0.0
2,87.5,49,56,28,413,6797,3664,1054,0.0018,5792,11783,13277,0,0.0
3,81.7,49,60,20,276,6239,4643,1073,0.0019,5675,10477,13935,0,0.0
4,78.6,44,56,14,207,6335,6205,1011,0.0020,5606,10435,13067,0,0.0
5,75.0,45,60,12,166,5364,6135,807,0.0017,4431,9193,12819,0,0.0
6,86.7,52,60,10,138,6612,7845,1065,0.0023,5624,11209,13033,0,0.0
10,92.9,52,56,6,83,5886,12249,920,0.0024,4964,10224,12415,0,0.0
20,81.3,65,80,4,42,8051,24274,1762,0.0042,5482,12510,18892,0,0.0
30,71.7,43,60,2,28,12264,37981,3449,0.0067,7259,14532,131500,0,0.0
50,72.0,72,100,2,17,15557,63526,4412,0.0098,6887,17972,157019,0,0.0
70,53.0,44,83,1,12,24414,92991,7258,0.0143,7625,22184,175560,0,0.0
100,65.1,112,172,1,10,40739,121746,14565,0.0217,9850,154362,190857,0,0.0
150,56.6,90,159,1,10,38613,220740,14521,0.0316,10977,129829,183678,0,0.0
200,41.9,70,167,1,10,47442,317616,18331,0.0436,16906,141986,175791,0,0.0
300,28.1,16,57,0,10,84044,526819,28128,0.0703,36498,184136,237543,0,0.0
