context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,88.8,444,500,500,4982,75261,2250,234,0.0013,82385,103411,118416,0,0.0
2,90.4,452,500,250,2491,74490,4084,266,0.0019,82151,103767,117209,3728,91.3
3,88.1,444,504,168,1661,70020,5556,265,0.0023,79979,99158,113751,5035,90.6
4,90.1,454,504,126,1246,75034,7494,289,0.0029,82064,100554,111179,6650,88.7
5,88.2,450,510,102,997,70555,8924,274,0.0033,78188,98176,112108,7574,84.9
6,88.9,448,504,84,831,71344,10838,287,0.0038,80207,99392,115538,9458,87.3
10,88.2,450,510,51,499,69399,17921,303,0.0056,79159,100478,114598,15730,87.8
20,85.2,460,540,27,250,56377,35103,327,0.0096,48792,98764,113382,32657,93.0
30,85.7,439,512,18,167,52412,52481,366,0.0129,42790,98715,116051,47950,91.4
50,83.7,502,600,12,100,38909,85266,373,0.0176,26222,91424,114309,78971,92.6
70,82.7,521,630,9,72,32268,120818,403,0.0210,21280,85215,111850,113983,94.3
100,78.3,470,600,6,50,45041,171045,422,0.0256,32506,98580,180861,159215,93.1
150,79.5,477,600,6,50,49815,269951,446,0.0413,31894,104166,208010,249480,92.4
200,77.8,467,600,6,50,51007,368061,483,0.0541,38205,105938,197806,342194,93.0
300,77.3,464,600,6,50,59457,564729,535,0.0896,39723,117867,311534,514051,91.0
