context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,53.6,30,56,56,826,4500,666,178,0.0006,3523,7791,13278,0,0.0
2,30.4,17,56,28,413,3990,776,116,0.0005,3428,6752,11438,0,0.0
3,41.7,25,60,20,276,3821,943,143,0.0006,3177,5927,12529,0,0.0
4,37.5,21,56,14,207,4109,1090,143,0.0007,3608,6607,7961,0,0.0
5,40.0,24,60,12,166,4465,1171,163,0.0008,3984,7009,11603,0,0.0
6,38.3,23,60,10,138,4575,1413,171,0.0009,3606,8246,13208,0,0.0
10,45.0,27,60,6,83,4977,1758,192,0.0010,3791,8222,14486,0,0.0
20,46.3,37,80,4,42,5523,1978,209,0.0011,4468,10267,18481,0,0.0
30,31.7,19,60,2,28,5638,2028,210,0.0011,4250,9734,19708,0,0.0
50,38.0,38,100,2,17,6014,2048,268,0.0013,4906,11089,17753,0,0.0
70,38.9,49,126,2,12,6319,2020,243,0.0012,4980,11077,15705,0,0.0
100,43.5,87,200,2,10,8037,2007,338,0.0014,6681,14639,19807,0,0.0
150,45.5,91,200,2,10,7903,2017,306,0.0014,6322,14685,23017,0,0.0
200,43.0,86,200,2,10,8027,2056,328,0.0014,7102,14232,24144,0,0.0
300,40.7,57,140,1,10,8515,2054,339,0.0015,7557,14749,20957,0,0.0
