context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,89.4,193,216,216,2160,9578,3125,662,0.0026,7933,17801,26998,0,0.0
3,86.1,186,216,216,2160,10934,5147,747,0.0034,9069,20519,31317,0,0.0
4,87.0,188,216,108,1080,10479,4885,616,0.0030,8067,19803,26418,66,1.3
5,88.9,192,216,108,1080,11106,6774,648,0.0036,8794,21320,32259,292,4.3
6,88.9,192,216,72,720,11519,6932,748,0.0039,9872,21634,30612,401,5.8
10,83.2,183,220,44,432,12111,9980,710,0.0045,9920,22139,38596,974,9.8
20,82.3,181,220,22,216,21787,18695,973,0.0070,16288,46495,71914,4640,24.8
30,86.7,195,225,15,144,31423,29528,1238,0.0103,22007,64525,99441,7522,25.5
50,80.9,182,225,9,87,56652,46984,2124,0.0167,44698,113279,165754,12043,25.6
70,85.7,210,245,7,62,70272,67741,2480,0.0225,52791,146802,201837,17960,26.5
100,83.6,209,250,5,44,98615,94526,3530,0.0330,70174,205257,297170,18765,19.9
150,81.3,104,128,0,29,133389,136429,4239,0.0479,98610,270363,380673,16002,11.7
200,75.8,69,91,0,22,185710,179019,6093,0.0653,127199,387102,515190,16341,9.1
300,64.2,34,53,0,22,324261,382254,11907,0.1419,226620,758177,966687,11362,3.0
