context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
2,89.5,1933,2160,2160,2160,3346,2339,131,0.0010,2558,6508,11926,0,0.0
3,90.3,1951,2160,2160,2160,3522,4283,140,0.0016,2673,6726,12798,2033,47.5
4,88.1,1904,2160,1080,1080,3510,4131,136,0.0016,2702,6784,12528,4854,100.0
5,88.4,1909,2160,1080,1080,3682,6108,139,0.0021,2838,6854,12937,5921,96.9
6,88.4,1910,2160,720,720,3707,5924,138,0.0020,2809,7180,14621,5779,97.6
10,88.7,1916,2160,432,432,3927,9510,138,0.0029,2959,7716,14536,8400,88.3
20,88.7,1916,2160,216,216,4529,18482,139,0.0048,3357,8409,17093,15456,83.6
30,87.3,1886,2160,144,144,4845,27455,140,0.0065,3670,9052,20140,23581,85.9
50,87.2,1884,2160,87,87,5322,45563,140,0.0090,4118,9688,20340,40001,87.8
70,87.7,1895,2160,62,62,6010,63597,143,0.0110,4503,10937,25413,56898,89.5
100,86.5,1869,2160,44,44,6664,90577,143,0.0136,5031,11997,27573,84884,93.7
150,86.7,1872,2160,29,29,10065,136045,167,0.0168,7110,19065,50330,128973,94.8
200,85.2,1840,2160,22,22,11575,182431,177,0.0211,8108,20919,54548,171341,93.9
300,80.9,1708,2110,21,22,18760,378771,194,0.0462,12993,32885,105924,354759,93.7
