context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,88.8,1975,2224,2224,7642,1656,1913,24,0.0002,896,3670,11802,2034,100.0
2,87.1,1849,2123,1059,3821,1636,3335,26,0.0003,830,3574,11896,4032,100.0
3,86.1,1548,1798,597,2548,1816,4758,25,0.0004,921,4249,13560,4775,100.0
4,85.8,1649,1921,479,1911,2152,6159,25,0.0004,1008,5247,15095,5735,93.1
5,87.2,1650,1892,371,1529,2090,7558,25,0.0005,1097,4846,12851,7047,93.2
6,86.5,1547,1789,291,1274,1732,8856,24,0.0006,905,3573,13266,8304,93.8
10,87.2,1439,1650,160,765,2308,14398,24,0.0008,1090,5442,14598,13820,96.0
20,86.1,1428,1659,80,383,3031,28375,24,0.0013,1440,7566,17518,27745,97.8
30,84.0,1428,1701,54,255,3097,42146,25,0.0018,1510,8853,16802,41599,98.7
50,82.7,1631,1972,32,153,3679,69757,27,0.0029,1756,9643,21248,69017,98.9
70,75.8,1330,1754,22,110,4451,99427,69,0.0039,2302,9893,26431,99036,99.6
100,75.8,1388,1830,16,77,2015,139818,65,0.0041,1627,2126,10334,137564,98.4
150,65.0,1180,1815,16,77,3402,239585,468,0.0069,2498,3130,8104,236741,98.8
200,59.5,1037,1743,16,77,4494,338518,453,0.0097,3530,4436,10169,335339,99.1
300,50.6,881,1741,16,77,6799,537161,475,0.0150,5651,7022,13883,532632,99.2
