context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
6,94.3,614,651,651,651,12317,2590,141,0.0046,11552,16588,24927,4757,100.0
10,91.6,596,651,651,651,13288,10320,162,0.0145,12406,18782,26880,0,0.0
20,88.6,577,651,217,217,13419,11433,159,0.0101,12591,19342,29742,10195,89.2
30,93.2,607,651,131,131,12143,12627,146,0.0091,11354,16985,25203,11311,89.6
50,88.3,575,651,82,82,13867,24284,163,0.0138,12474,20746,33243,22833,94.0
70,87.9,572,651,60,60,13943,35577,160,0.0179,12409,20695,35677,34146,96.0
100,87.4,569,651,41,41,14900,48605,160,0.0249,12490,24079,45939,45678,94.0
150,91.1,593,651,27,27,12893,63124,143,0.0374,11485,18405,35648,58201,92.2
200,84.6,551,651,20,20,15155,90146,153,0.0590,12625,24339,46825,86292,95.7
300,89.4,582,651,14,14,14109,126293,138,0.0684,11957,21337,44759,123806,98.0
