context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
4,66.1,616,932,932,932,9871,401,173,0.0006,8072,16014,29676,0,0.0
5,65.1,607,932,932,932,10007,554,172,0.0006,8195,16291,28515,0,0.0
6,61.9,577,932,932,932,9673,713,178,0.0007,8167,16431,28251,0,0.0
10,60.9,568,932,466,466,10313,1040,178,0.0008,8262,18331,30717,0,0.0
20,58.5,545,932,187,187,11080,1398,192,0.0009,8675,20688,38147,0,0.0
30,57.3,534,932,134,134,11220,1478,190,0.0009,9401,20884,36089,0,0.0
50,53.6,500,932,78,78,12048,1495,198,0.0009,10053,22255,41030,0,0.0
70,49.7,463,932,55,55,16051,1463,209,0.0010,10602,23953,71451,0,0.0
100,42.8,399,932,38,38,12884,1494,216,0.0010,10818,23198,39102,0,0.0
150,40.9,381,932,26,26,13176,1515,215,0.0010,10928,23809,42848,0,0.0
200,40.7,379,932,19,19,13589,1520,220,0.0010,11746,24298,40435,0,0.0
300,36.6,341,932,13,13,13837,1529,229,0.0010,12304,24082,39281,0,0.0
