context_size,success_rate_percent,correct_answers,total_processed,test_cases_completed,total_test_cases,avg_response_time_ms,avg_input_tokens,avg_output_tokens,avg_cost,p50_ms,p90_ms,p99_ms,avg_cached_tokens,cache_ratio_percent
1,35.4,96,271,271,7642,56062,1598,692,0.0004,52575,92603,136560,0,0.0
2,35.1,91,259,129,3821,76445,1998,769,0.0005,74138,114708,140412,0,0.0
3,24.7,63,255,85,2548,98749,2327,758,0.0005,98446,136610,186782,0,0.0
4,32.0,82,256,64,1911,101411,2578,876,0.0006,100304,142381,185123,0,0.0
5,21.6,55,255,51,1529,83335,2682,956,0.0007,78469,125688,163721,0,0.0
6,16.7,43,258,43,1274,79462,2795,1002,0.0007,74940,124126,170106,0,0.0
10,10.7,27,252,26,765,78908,3001,1016,0.0007,72234,130287,160071,0,0.0
20,4.6,12,260,13,383,38571,2856,987,0.0007,25940,81911,136668,0,0.0
30,1.5,4,270,9,255,41787,2830,848,0.0006,36083,69173,113479,0,0.0
50,2.0,6,300,6,153,19683,3034,852,0.0006,17535,27407,41871,0,0.0
70,0.4,1,280,4,110,15306,3185,812,0.0006,14314,21664,32145,0,0.0
100,0.0,0,300,3,77,7093,2615,812,0.0006,6964,9586,11460,0,0.0
150,0.0,0,242,3,77,4840,4276,1567,0.0011,4751,5996,8132,0,0.0
200,0.0,0,300,3,77,2847,4388,1717,0.0011,2837,3334,4559,0,0.0
300,0.0,0,300,3,77,2991,6057,2703,0.0017,2824,3529,4168,0,0.0
